"0","1","2","3","4","5","6"
"{""score"":0.105503,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.074744,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.091248,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.174378,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.168592,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""simply"",""make"",""meme""]}","{""link"":""https://zoirolifestyle.files.wordpress.com/2014/07/one-does-not-simply.jpg""}"
"{""score"":0.097193,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.137919,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.041241,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.417988,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.265511,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""doesnot"",""wear"",""outfit"",""day"",""school""]}","{""link"":""https://i.imgflip.com/18m9s0.jpg""}"
"{""score"":0.105503,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.074744,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.091248,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.174378,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.168592,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""simply"",""make"",""meme""]}","{""link"":""https://zoirolifestyle.files.wordpress.com/2014/07/one-does-not-simply.jpg""}"
"{""score"":0.030833,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.020998,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.037611,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.730699,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.02816,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""feels"",""great"",""introducing"",""game"",""thrones""]}","{""link"":""https://img.memecdn.com/that-ned-stark-guy-is-cool-he-should-be-king_o_7016959.jpg""}"
"{""score"":0.097193,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.137919,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.041241,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.417988,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.265511,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""doesnot"",""wear"",""outfit"",""day"",""school""]}","{""link"":""https://i.imgflip.com/18m9s0.jpg""}"
"{""score"":0.092734,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.007003,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.147275,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.323134,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.520718,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""chill"",""dude"",""weekend"",""pain""]}","{""link"":""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSThZ1lYnJ_rHkaju8eSVZSaNXWr3Bh3svfwW7-YoE4056RjL-S""}"
"{""score"":0.030833,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.020998,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.037611,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.730699,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.02816,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""feels"",""great"",""introducing"",""game"",""thrones""]}","{""link"":""https://img.memecdn.com/that-ned-stark-guy-is-cool-he-should-be-king_o_7016959.jpg""}"
"{""score"":0.116287,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.090596,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.208483,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.21679,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.497271,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""life"",""short""]}","{""link"":""https://www.sdentertainer.com/wp-content/uploads/10840987874_156e673281_b-660x400.jpg""}"
"{""score"":0.092734,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.007003,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.147275,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.323134,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.520718,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""chill"",""dude"",""weekend"",""pain""]}","{""link"":""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSThZ1lYnJ_rHkaju8eSVZSaNXWr3Bh3svfwW7-YoE4056RjL-S""}"
"{""score"":0.02183,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.041332,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.045086,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.875336,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.010748,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""love"",""hair"",""shower""]}","{""link"":""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcST_tDIwz3PnYTJC3dwIZkmg7i0Z_A7NZ7hd5fN4fM_Bjrfy-X-""}"
"{""score"":0.116287,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.090596,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.208483,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.21679,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.497271,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""life"",""short""]}","{""link"":""https://www.sdentertainer.com/wp-content/uploads/10840987874_156e673281_b-660x400.jpg""}"
"{""score"":0.10223,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.079521,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.141554,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.060875,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.086071,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""mix""]}","{""link"":""https://www.royalvegascasino.com/blog/wp-content/uploads/www_royalvegas_com/2016/10/John-Goodman-meme-e1476374872554.jpg""}"
"{""score"":0.10223,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.079521,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.141554,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.060875,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.086071,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""mix""]}","{""link"":""https://www.royalvegascasino.com/blog/wp-content/uploads/www_royalvegas_com/2016/10/John-Goodman-meme-e1476374872554.jpg""}"
"{""score"":0.02183,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.041332,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.045086,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.875336,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.010748,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""love"",""hair"",""shower""]}","{""link"":""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcST_tDIwz3PnYTJC3dwIZkmg7i0Z_A7NZ7hd5fN4fM_Bjrfy-X-""}"
"{""score"":0.10223,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.079521,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.141554,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.060875,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.086071,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""mix""]}","{""link"":""https://www.royalvegascasino.com/blog/wp-content/uploads/www_royalvegas_com/2016/10/John-Goodman-meme-e1476374872554.jpg""}"
"{""score"":0.10223,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.079521,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.141554,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.060875,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.086071,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""mix""]}","{""link"":""https://www.royalvegascasino.com/blog/wp-content/uploads/www_royalvegas_com/2016/10/John-Goodman-meme-e1476374872554.jpg""}"
"{""score"":0.082768,""tone_id"":""anger"",""tone_name"":""Anger""}","{""score"":0.067942,""tone_id"":""disgust"",""tone_name"":""Disgust""}","{""score"":0.050371,""tone_id"":""fear"",""tone_name"":""Fear""}","{""score"":0.069549,""tone_id"":""joy"",""tone_name"":""Joy""}","{""score"":0.475307,""tone_id"":""sadness"",""tone_name"":""Sadness""}","{""keywords"":[""drop"",""place"",""pass""]}","{""link"":""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIGvecK5dXj5IlUQVCvy-ffdjpRkB52xcZPktUrpi9lxsjx3PRuw""}"
